Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,267.839996,268.809998,267.399994,268.769989,256.217468,86655700
2018-01-03,268.959991,270.640015,268.959991,270.470001,257.838104,90070400
2018-01-04,271.200012,272.160004,270.540009,271.609985,258.924835,80636400
2018-01-05,272.510010,273.559998,271.950012,273.420013,260.650299,83524000
2018-01-08,273.309998,274.100006,272.980011,273.920013,261.126984,57319200
2018-01-09,274.399994,275.250000,274.079987,274.540009,261.718018,57254000
2018-01-10,273.679993,274.420013,272.920013,274.119995,261.317596,69574300
2018-01-11,274.750000,276.119995,274.559998,276.119995,263.224152,62361500
2018-01-12,276.420013,278.109985,276.079987,277.920013,264.940186,90816100
2018-01-16,279.350006,280.089996,276.179993,276.970001,264.034515,106555100
2018-01-17,278.029999,280.049988,276.970001,279.609985,266.551147,113258800
2018-01-18,279.480011,279.959991,278.579987,279.140015,266.103210,100728000
2018-01-19,279.799988,280.410004,279.140015,280.410004,267.313843,140920100
2018-01-22,280.170013,282.690002,280.109985,282.690002,269.487366,91322400
2018-01-23,282.739990,283.619995,282.369995,283.290009,270.059326,97084700
2018-01-24,284.019989,284.700012,281.839996,283.179993,269.954468,134816100
2018-01-25,284.160004,284.269989,282.399994,283.299988,270.068909,84587300
2018-01-26,284.250000,286.630005,283.959991,286.579987,273.195648,107743100
2018-01-29,285.929993,286.429993,284.500000,284.679993,271.384430,90118300
2018-01-30,282.600006,284.739990,281.220001,281.760010,268.600830,131796400
2018-01-31,282.730011,283.299988,280.679993,281.899994,268.734192,108364800
2018-02-01,281.070007,283.059998,280.679993,281.579987,268.429230,90102500
2018-02-02,280.079987,280.230011,275.410004,275.450012,262.585510,173174800
2018-02-05,273.450012,275.850006,263.309998,263.929993,251.603470,294681800
2018-02-06,259.940002,269.700012,258.700012,269.130005,256.560699,355026800
2018-02-07,268.500000,272.359985,267.579987,267.670013,255.168854,167376100
2018-02-08,268.010010,268.170013,257.589996,257.630005,245.597778,246449500
2018-02-09,260.799988,263.609985,252.919998,261.500000,249.287033,283565300
2018-02-12,263.829987,267.010010,261.660004,265.339996,252.947723,143736000
2018-02-13,263.970001,266.619995,263.309998,266.000000,253.576828,81223600
2018-02-14,264.309998,270.000000,264.299988,269.589996,256.999207,120735700
2018-02-15,271.570007,273.040009,268.769989,273.029999,260.278503,111200300
2018-02-16,272.320007,275.320007,272.269989,273.109985,260.354767,160420100
2018-02-20,272.029999,273.670013,270.500000,271.399994,258.724670,86369700
2018-02-21,271.899994,274.720001,269.940002,270.049988,257.437714,98883700
2018-02-22,271.100006,273.049988,269.640015,270.399994,257.771332,110511300
2018-02-23,271.790009,274.709991,271.250000,274.709991,261.880035,92766400
2018-02-26,275.929993,278.010010,275.260010,277.899994,264.921082,86491400
2018-02-27,278.109985,278.920013,274.359985,274.429993,261.613159,99099200
2018-02-28,275.679993,276.190002,271.290009,271.649994,258.962952,121907800
2018-03-01,271.410004,273.170013,266.000000,267.700012,255.197433,176855100
2018-03-02,265.799988,269.720001,264.820007,269.079987,256.513031,139083200
2018-03-05,267.730011,272.890015,267.609985,272.190002,259.477722,97307400
2018-03-06,273.299988,273.390015,271.179993,272.880005,260.135529,79213200
2018-03-07,270.420013,273.179993,270.200012,272.779999,260.040222,87063500
2018-03-08,273.549988,274.239990,272.420013,274.100006,261.298584,66901200
2018-03-09,275.700012,278.869995,275.339996,278.869995,265.845795,113625300
2018-03-12,279.200012,279.910004,278.079987,278.519989,265.512146,71924800
2018-03-13,279.839996,280.410004,276.029999,276.720001,263.796173,91968900
2018-03-14,277.809998,278.019989,274.670013,275.299988,262.442444,105895100
2018-03-15,275.880005,276.609985,274.429993,275.000000,262.156494,83433000
2018-03-16,274.500000,275.390015,274.140015,274.200012,262.440796,100343700
